1	1	B	topic-01-microbiome-dynamics	微生態防禦動力學	ready_with_accepted_gap
2	1	Kepu	topic-01-microbiome-dynamics/kepu-1.1-good-bad-bacteria	微生態防禦動力學	ready
3	1	Kepu	topic-01-microbiome-dynamics/kepu-1.2-sterile-myth	微生態防禦動力學	ready
4	1	Kepu	topic-01-microbiome-dynamics/kepu-1.3-molecular-permeation	微生態防禦動力學	ready
5	1	Kepu	topic-01-microbiome-dynamics/kepu-1.4-daily-habits	微生態防禦動力學	ready
6	1	B	topic-02-ph-boundary	pH 值的生存邊界	ready
7	1	Kepu	topic-02-ph-boundary/kepu-2.1-what-is-ph	pH 值的生存邊界	ready
8	1	Kepu	topic-02-ph-boundary/kepu-2.2-golden-ratio-ph45	pH 值的生存邊界	ready
9	1	Kepu	topic-02-ph-boundary/kepu-2.3-recognizing-imbalance	pH 值的生存邊界	ready
10	1	Kepu	topic-02-ph-boundary/kepu-2.4-gentle-product-choice	pH 值的生存邊界	ready
11	1	Kepu	topic-02-ph-boundary/kepu-2.5-guarding-boundaries	pH 值的生存邊界	ready
12	2	B	topic-06-barrier-repair	屏障修復的負回饋循環	ready_with_accepted_gap
13	2	Kepu	topic-06-barrier-repair/kepu-6.1-barrier	屏障修復的負回饋循環	ready
14	2	Kepu	topic-06-barrier-repair/kepu-6.2-less-is-more	屏障修復的負回饋循環	ready
15	2	Kepu	topic-06-barrier-repair/kepu-6.3-let-body-speak	屏障修復的負回饋循環	ready
16	2	Kepu	topic-06-barrier-repair/kepu-6.4-self-healing	屏障修復的負回饋循環	ready
17	2	Kepu	topic-06-barrier-repair/kepu-6.5-patience-in-repair	屏障修復的負回饋循環	ready
18	3	B	topic-03-molecular-permeation	分子滲透與吸收效率	ready
19	3	Kepu	topic-03-molecular-permeation/kepu-3.1-absorption-molecular-size	分子滲透與吸收效率	ready
20	3	Kepu	topic-03-molecular-permeation/kepu-3.2-art-of-penetration	分子滲透與吸收效率	ready
21	3	Kepu	topic-03-molecular-permeation/kepu-3.3-absorption	分子滲透與吸收效率	ready
22	3	Kepu	topic-03-molecular-permeation/kepu-3.4-personalized-formula	分子滲透與吸收效率	ready
23	3	Kepu	topic-03-molecular-permeation/kepu-3.5-future-trend	分子滲透與吸收效率	ready
24	3	B	topic-05-ingredient-purity	成分潔癖的科學依據	ready
